section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4
professional_experience,TRUE,Data Analysis and Report Writing Intern,"Chicago, IL",First Stop Health,Nov. 2016,Feb. 2017,Enhanced organization-wide analytics capacity by advising COO on how to translate Excel reports to Tableau dashboards,Built quarterly and annual client-specific utilization reports using Excel analysis and visualization tools,NA,NA
academic_achievements,TRUE,Project IBIS: Puerto Rico Emergency Response Data Collection,"Chicago, IL",Loyola Quinlan School of Business,Mar. 2019,Jul. 2019,Consulted non-profits and FEMA representatives in Puerto Rico on data collection methods, Led a team to conduct requirements analysis for an ArcGIS-powered application to locate and disperse emergency resources ahead of a natural disaster in Puerto Rico,NA,NA
education,TRUE,M.S. in Information Systems Management (GPA: 3.7/4.0),"Chicago, IL",Loyola Quinlan School of Business,Nov. 2017,Nov. 2019,"Focus on the intersection of business and data: database modeling, mining, and visualization using SQL, Python,  R and Tableau","Study predictive modeling, data cleansing, and data presentation",NA,NA
academic_achievements,TRUE,Participant at DataFest 2017 Competition,"Chicago, IL",Loyola University Chicago,NA,May. 2017,"Presented ""Are College Students as Lazy as We Think They Are?"": An exploration of Expedia data to understand college students travel habits with SAS and Tableau",NA,NA,NA
academic_achievements,TRUE,"Author of ""Effect of Voter Identification Laws on Voter Turnout and Democratic Party Victories""","Chicago, IL",Loyola University Chicago,Sept. 2015,May. 2017,Conducted multivariate linear regression analysis on 14 years of social survey and legislative data in STATA; visualized chronological and geographic data in Tableau,Presented at three national conferences in 2016 and 2017,NA,NA
education,TRUE,B.A. in Political Science (GPA 3.6/4.0),"Chicago, IL",Loyola University Chicago,Sept. 2013,May. 2017,Pi Sigma Alpha Political Science Honor Society member,NA,NA,NA
professional_experience,FALSE,Board Member,"Chicago, IL",R-Ladies Chicago,July. 2019,Present,Co-organizer for R-Ladies Chicago: A global network dedicated to promoting gender diversity in the R programming and data science communities,Organized 200+ person SatRdays conference in April 2019 at Roosevelt University in Chicago,NA,NA
professional_experience,FALSE,Data Integration Analyst,"Chicago, IL",Strata Decision Technology,May. 2018,Present,"Assess client's business needs and align those needs with best practice ETL methodologies to successfully integrate 2-5 years of historical clinical and financial data into the StrataJazz analytics platform, on time and within budget","Tailor SQL stored procedures to individual client databases to ensure 40,000,000 rows of financial and clinical data are properly mapped together",Empower clients to tackle data maintenance tasks with confidence through leading data maintenance and validation trainings,NA
professional_experience,FALSE,Enterprise Resource Planning Data Conversion Project,"Chicago, IL",Strata Decision Technology,Nov. 2018,Apr. 2019,Translated client’s data in StrataJazz software from old to new ERP software format ,"Converted structure of 10,000,000 rows of data using SQL",NA,NA
professional_experience,FALSE,Process Improvement Initiative,"Chicago, IL",Strata Decision Technology,Jan. 2019,Present,Serve on 7-person team to reduce data validation timeline from 11 days to less than 5 days using SQL and Python automation,NA,NA,NA
professional_experience,FALSE,Technical Support Specialist,"Chicago, IL",U.S. District Court - Northern District of Illinois,May. 2017,Apr. 2018,Translated industry-specific technical language into digestible and actionable information for end-users,Lead onboarding trainings on IT security best practices,Collected and wrote technical requirements to bring 100+ user-specific workstations into production,NA
professional_experience,TRUE,Data Integration Analyst,"Chicago, IL",Strata Decision Technology,May. 2018,Present,"Explore and cleanse data, troubleshoot anomalies and answer business questions through ETL methodologies and SQL querying on large datasets (40 million rows)",Serve on 7-person team to reduce data validation timeline from 11 days to less than 5 days using SQL and Python automation,Empower clients to tackle data maintenace tasks with confidence through leading data maintenance and validation trainings,NA
